num_players,num_rounds,round_index,pairs
19,19,11,"(1,5);(2,3);(4,7);(6,10);(8,11);(9,13);(12,17);(15,18)"
19,19,12,"(0,14);(1,12);(2,16);(3,18);(4,13);(5,15);(7,11);(9,17)"
19,19,13,"(0,15);(2,4);(3,14);(6,16);(7,10);(8,13);(11,17);(12,18)"
19,19,14,"(1,17);(2,15);(3,7);(5,18);(6,11);(8,9);(10,13);(12,14)"
19,19,15,"(0,17);(1,9);(2,10);(5,12);(6,18);(7,16);(8,14);(13,15)"
19,19,16,"(0,18);(1,8);(2,7);(4,16);(6,13);(9,11);(10,12);(15,17)"
19,19,17,"(1,11);(2,12);(3,10);(4,6);(7,8);(9,14);(13,18);(15,16)"
19,19,18,"(0,4);(1,7);(3,6);(5,17);(8,12);(9,10);(11,18);(14,15)"
20,5,0,"(0,1);(3,4);(5,19);(7,12);(8,13);(10,11);(14,18);(15,17)"
20,5,1,"(1,14);(2,9);(3,5);(4,7);(6,19);(8,15);(12,13);(16,18)"
20,5,2,"(0,13);(2,17);(4,12);(5,16);(6,9);(8,11);(10,18);(14,15)"
20,5,3,"(0,3);(1,2);(4,11);(5,12);(6,8);(7,19);(9,10);(16,17)"
20,5,4,"(0,16);(1,10);(2,15);(3,17);(6,13);(7,9);(11,14);(18,19)"
20,10,0,"(0,14);(3,8);(4,17);(5,13);(6,16);(7,15);(10,12);(11,18)"
20,10,1,"(0,5);(2,14);(3,13);(4,11);(6,15);(8,12);(9,10);(17,19)"
20,10,2,"(1,10);(2,12);(3,18);(4,14);(5,17);(7,13);(9,19);(15,16)"
20,10,3,"(1,15);(2,19);(3,17);(5,14);(7,10);(8,9);(11,16);(13,18)"
20,10,4,"(0,10);(1,5);(2,9);(3,7);(4,19);(6,11);(13,15);(14,16)"
20,10,5,"(0,7);(1,9);(4,16);(5,12);(6,10);(8,18);(11,19);(13,17)"
20,10,6,"(0,19);(1,11);(2,16);(3,6);(7,12);(8,14);(9,15);(17,18)"
20,10,7,"(0,2);(1,6);(3,11);(4,9);(5,8);(10,16);(12,18);(14,15)"
